window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
20,3,0.01,random_forest,200,6,0.4,0.36723758860504113,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5020634765772789,0.25080512251435094,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,6,0.4,0.36991842057159025,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.5032672182043165,0.2508372971877297,3974,12504,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,8,0.3,0.3079730514177596,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.503578945326323,0.2499116717106553,3974,12504,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,8,0.4,0.3079730514177596,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.503578945326323,0.2499116717106553,3974,12504,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,10,0.3,0.29968074711755655,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5044121563032391,0.25005491478016345,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,10,0.4,0.29968074711755655,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5044121563032391,0.25005491478016345,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,200,6,0.3,0.36723758860504113,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5020634765772789,0.25080512251435094,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,200,8,0.3,0.3226960848821106,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5045758683844219,0.2511834164486259,3974,12503,82389,23544,28.57663037541419
20,3,0.005,xgboost,200,10,0.4,0.02049342170357704,True,0.3384512683578104,0.3383709638261714,1.0,0.5056460024488685,0.5055240483859094,0.34254998952407534,5575,10901,82389,30868,37.46616659991018
20,3,0.01,random_forest,200,8,0.4,0.3226960848821106,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5045758683844219,0.2511834164486259,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,200,10,0.3,0.30595920203089877,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5035573518336236,0.2502400130849552,3974,12503,82389,23544,28.57663037541419
20,3,0.01,random_forest,200,10,0.4,0.3059592020308987,True,0.2412307318849375,0.24118468167748983,1.0,0.38863625250598993,0.5035573518336236,0.2502400130849552,3974,12503,82389,23544,28.57663037541419
15,2,0.005,random_forest,100,6,0.4,0.36158514944956105,True,0.3155348612202939,0.3155348612202939,1.0,0.47970581475522867,0.5016186739812181,0.3245995448964716,5218,11319,82684,29223,35.342992598326155
20,3,0.01,xgboost,100,6,0.4,0.1024865210056305,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.5071137880065595,0.2469094785303413,3974,12504,82389,23544,28.57663037541419
20,3,0.01,xgboost,100,8,0.3,0.0747402086853981,True,0.2412914188615123,0.2411993202233552,1.0,0.38865525672371637,0.505374384877262,0.24533184176933664,3974,12502,82389,23544,28.57663037541419
20,3,0.01,random_forest,100,6,0.3,0.3699184205715902,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.5032672182043165,0.2508372971877297,3974,12504,82389,23544,28.57663037541419
20,3,0.005,xgboost,200,10,0.3,0.02049342170357704,True,0.3384512683578104,0.3383709638261714,1.0,0.5056460024488685,0.5055240483859094,0.34254998952407534,5575,10901,82389,30868,37.46616659991018
20,3,0.01,xgboost,200,6,0.3,0.020451635122299194,True,0.24117004490836266,0.24117004490836266,1.0,0.3886172501466849,0.5058520176412193,0.24723649396169442,3974,12504,82389,23544,28.57663037541419
20,3,0.005,random_forest,200,8,0.4,0.33408449132615425,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5099870073197446,0.3493358980755971,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,100,8,0.4,0.3583856642543149,True,0.33839058138123557,0.3383504278691509,1.0,0.5056230727371667,0.5106661802466018,0.34975697608183115,5575,10902,82389,30868,37.46616659991018
20,3,0.005,random_forest,100,10,0.3,0.29046682589082123,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5107939765621755,0.3500050554636794,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,100,10,0.4,0.29046682589082123,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5107939765621755,0.3500050554636794,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,200,6,0.3,0.38691937637562285,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5074520239420672,0.34576080818366234,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,200,6,0.4,0.38691937637562285,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5074520239420672,0.34576080818366234,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,200,8,0.3,0.33408449132615425,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5099870073197446,0.3493358980755971,5575,10903,82389,30868,37.46616659991018
20,3,0.005,random_forest,200,10,0.3,0.29771190981271917,True,0.33832989440466077,0.33832989440466077,1.0,0.5056001451049744,0.5082561470513114,0.3480827724486335,5575,10903,82389,30868,37.46616659991018
20,3,0.005,xgboost,200,6,0.4,0.030399780720472336,True,0.33839058138123557,0.3383504278691509,1.0,0.5056230727371667,0.5134630654581842,0.347633805754075,5575,10902,82389,30868,37.46616659991018
