window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
15,9,0.015,xgboost,200,5,0.45,0.2577752470970154,False,0.3359179704955949,0.3203610424291755,0.9880667847378648,0.4838449604570437,0.5445624481279724,0.3445219225745303,114926,243813,1846162,596128,32.2901240519521
10,6,0.02,xgboost,100,15,0.5,0.13451218605041504,False,0.26312010796221325,0.24684461111926637,0.9879393865493121,0.3949962327704649,0.5248477390355233,0.2568555477900881,89123,271926,1852497,463746,25.03356280738916
10,6,0.02,xgboost,100,15,0.45,0.13451218605041504,False,0.26312010796221325,0.24684461111926637,0.9879393865493121,0.3949962327704649,0.5248477390355233,0.2568555477900881,89123,271926,1852497,463746,25.03356280738916
10,12,0.025,xgboost,200,5,0.45,0.21505507826805115,False,0.28358164642375167,0.2668640251701454,0.9877690601380217,0.42020257621728124,0.5409392638016708,0.2871798142017823,96185,264242,1852497,500144,26.998370307752182
10,12,0.025,xgboost,200,5,0.5,0.21505507826805115,False,0.28358164642375167,0.2668640251701454,0.9877690601380217,0.42020257621728124,0.5409392638016708,0.2871798142017823,96185,264242,1852497,500144,26.998370307752182
10,12,0.02,xgboost,100,5,0.45,0.2543495297431946,False,0.3156140350877193,0.30007215007215005,0.9877686735542097,0.4603082371821477,0.5380459883430726,0.32011493762264315,108134,252226,1852497,561956,30.335055873234886
10,12,0.02,xgboost,100,5,0.5,0.2543495297431946,False,0.3156140350877193,0.30007215007215005,0.9877686735542097,0.4603082371821477,0.5380459883430726,0.32011493762264315,108134,252226,1852497,561956,30.335055873234886
20,12,0.025,xgboost,100,15,0.5,0.124665267765522,False,0.2839838346283568,0.2668299337985328,0.987542421984935,0.42013980596200234,0.542110217016534,0.288228232516809,95444,262252,1839733,496389,26.981578305112752
20,12,0.025,xgboost,100,15,0.45,0.124665267765522,False,0.2839838346283568,0.2668299337985328,0.987542421984935,0.42013980596200234,0.542110217016534,0.288228232516809,95444,262252,1839733,496389,26.981578305112752
30,9,0.02,xgboost,200,15,0.5,0.0865679606795311,False,0.2940221749638035,0.2777665226003962,0.9873475960432482,0.4335610587364644,0.5414101454403887,0.2998422146645421,98716,256676,1826832,512809,28.07094467362078
10,6,0.02,random_forest,100,15,0.45,0.4357396968406255,False,0.26503103913630227,0.2472314069089203,0.9871634279633305,0.3954290738257418,0.5337347218613971,0.26254067415849575,89053,271148,1852497,463746,25.03356280738916
10,6,0.02,random_forest,100,15,0.5,0.4357396968406255,False,0.26503103913630227,0.2472314069089203,0.9871634279633305,0.3954290738257418,0.5337347218613971,0.26254067415849575,89053,271148,1852497,463746,25.03356280738916
10,6,0.03,random_forest,200,5,0.5,0.47099960627538506,False,0.197859649122807,0.17796271637816244,0.9866957872556408,0.3015391412865426,0.5325770057070084,0.18948979383901812,64152,296328,1852497,331689,17.904968267155088
10,6,0.03,random_forest,200,5,0.45,0.47099960627538506,False,0.197859649122807,0.17796271637816244,0.9866957872556408,0.3015391412865426,0.5325770057070084,0.18948979383901812,64152,296328,1852497,331689,17.904968267155088
10,12,0.03,random_forest,100,5,0.45,0.4699523694908273,False,0.25466666666666665,0.2373449668301125,0.9866606714628298,0.3826435712624971,0.5353121940033161,0.2529089776323695,85579,274989,1852497,445120,24.028109087356146
10,12,0.03,random_forest,100,5,0.5,0.46995236949082725,False,0.25466666666666665,0.2373449668301125,0.9866606714628298,0.3826435712624971,0.5353121940033161,0.2529089776323695,85579,274989,1852497,445120,24.028109087356146
10,9,0.02,random_forest,100,10,0.45,0.46052065269535064,False,0.2964642375168691,0.27935670547817654,0.9863391463929262,0.43539757835683496,0.5342634161629997,0.2942267340870684,100505,259268,1852497,522645,28.21300115465774
10,9,0.02,random_forest,100,10,0.5,0.46052065269535064,False,0.2964642375168691,0.27935670547817654,0.9863391463929262,0.43539757835683496,0.5342634161629997,0.2942267340870684,100505,259268,1852497,522645,28.21300115465774
10,6,0.025,random_forest,200,10,0.45,0.45500351265073413,False,0.22980026990553307,0.20962307268875557,0.986110929469155,0.3457484736141012,0.5363852385629242,0.2248074985593094,75401,284297,1852497,391649,21.141680661291222
