window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
40,3,0.015,random_forest,100,4,0.58,0.575157874708376,True,0.7127406967684488,1.0,6.457445434586077e-05,0.00012914056950991153,0.5345226243542303,0.30977472265549266,1.0,1,0,269526,69261,25.69733532200975
30,3,0.015,random_forest,100,4,0.58,0.5880951396983799,True,0.7132569618388095,1.0,6.422607578676943e-05,0.00012844390212574659,0.5325212058328807,0.308672120750006,1.0,1,0,271476,69550,25.619207591094607
40,9,0.015,random_forest,800,4,0.58,0.5595973440994556,True,0.6257744963454903,1.0,4.95687518588282e-05,9.913258983890954e-05,0.5198257079687991,0.39161647080651096,1.0,1,0,269526,95933,35.59322662748677
40,9,0.015,xgboost,400,4,0.58,0.9177567958831787,True,0.6257744963454903,1.0,4.95687518588282e-05,9.913258983890954e-05,0.5259689709370761,0.39398383036437823,1.0,1,0,269526,95933,35.59322662748677
30,9,0.015,random_forest,400,4,0.58,0.5880047231091807,True,0.6269522616767349,1.0,4.936808846761453e-05,9.87313027595399e-05,0.5164091041832581,0.38797533208740337,1.0,1,0,271476,96231,35.447332360871684
30,9,0.015,random_forest,800,4,0.58,0.5861668280044808,True,0.6269522616767349,1.0,4.936808846761453e-05,9.87313027595399e-05,0.5165158866044595,0.38834923130681265,1.0,1,0,271476,96231,35.447332360871684
30,9,0.015,xgboost,400,4,0.58,0.9104772806167603,True,0.6269522616767349,1.0,4.936808846761453e-05,9.87313027595399e-05,0.5252808303132361,0.39363912961765,1.0,1,0,271476,96231,35.447332360871684
30,9,0.015,random_forest,100,4,0.58,0.5924009061660062,True,0.6269522616767349,1.0,4.936808846761453e-05,9.87313027595399e-05,0.5152874043616561,0.38717331431510865,1.0,1,0,271476,96231,35.447332360871684
30,9,0.015,xgboost,800,4,0.58,0.941766083240509,False,0.6269338441137469,0.5,4.936808846761453e-05,9.872642906506072e-05,0.5248405841480518,0.39311047490176926,0.5,1,1,271476,96231,35.447332360871684
15,9,0.015,random_forest,100,4,0.58,0.5538330514503097,True,0.6283163265306122,1.0,4.9022010882886415e-05,9.80392156862745e-05,0.5271696921153989,0.39793358894231473,1.0,1,0,274400,96906,35.315597667638485
