window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,9,0.005,random_forest,100,8,0.48,0.05,0.5167272775915651,True,0.5499010940212345,0.48000855249091295,0.16327569592174404,0.24366749426784431,0.5317264932505833,0.46813783173341716,0.48000855249091295,17960,19456,1238546,557067,44.97749780791347
15,9,0.005,random_forest,200,8,0.48,0.1,0.51650044244675,True,0.5499212789148601,0.48,0.16265750286368844,0.2429773278197633,0.5317066343837513,0.4684145373376093,0.48,17892,19383,1238546,557067,44.97749780791347
15,9,0.005,random_forest,200,8,0.48,0.05,0.5165004424467502,True,0.5499212789148601,0.48,0.16265750286368844,0.2429773278197633,0.5317066343837513,0.4684145373376093,0.48,17892,19383,1238546,557067,44.97749780791347
21,9,0.005,xgboost,100,12,0.48,0.1,0.8253709077835083,True,0.5501141122150741,0.48001916356667795,0.1554630669112748,0.23486180341544466,0.526634246106156,0.4659111875232574,0.48001916356667795,17033,18451,1233432,554941,44.991616886865266
21,9,0.005,xgboost,100,12,0.48,0.05,0.8253709077835083,True,0.5501141122150741,0.48001916356667795,0.1554630669112748,0.23486180341544466,0.526634246106156,0.4659111875232574,0.48001916356667795,17033,18451,1233432,554941,44.991616886865266
30,9,0.005,xgboost,200,12,0.48,0.1,0.829635739326477,True,0.5489585797851076,0.480028236955115,0.14943275983628324,0.22791545342187403,0.5282512062055128,0.4672861592833131,0.480028236955115,16320,17678,1225726,553198,45.13227262862989
30,9,0.005,xgboost,200,12,0.48,0.05,0.829635739326477,True,0.5489585797851076,0.480028236955115,0.14943275983628324,0.22791545342187403,0.5282512062055128,0.4672861592833131,0.480028236955115,16320,17678,1225726,553198,45.13227262862989
30,6,0.005,random_forest,200,8,0.48,0.1,0.51383631610472,True,0.5645860018111656,0.48003685503685506,0.1482359635811836,0.22652173913043477,0.5373947014423981,0.4613525820034575,0.48003685503685506,15630,16930,1225726,533363,43.51404800093985
30,6,0.005,random_forest,200,8,0.48,0.05,0.51383631610472,True,0.5645860018111656,0.48003685503685506,0.1482359635811836,0.22652173913043477,0.5373947014423981,0.4613525820034575,0.48003685503685506,15630,16930,1225726,533363,43.51404800093985
21,6,0.005,random_forest,100,8,0.48,0.05,0.5174708767987647,True,0.566487086875271,0.48002512124489727,0.13004149456033726,0.20464382929985572,0.533772277500307,0.45671963011887806,0.48002512124489727,13758,14903,1233432,535195,43.390717931754644
21,6,0.005,random_forest,100,8,0.48,0.1,0.5174708767987647,True,0.566487086875271,0.48002512124489727,0.13004149456033726,0.20464382929985572,0.533772277500307,0.45671963011887806,0.48002512124489727,13758,14903,1233432,535195,43.390717931754644
21,6,0.005,random_forest,200,12,0.48,0.1,0.520254451166327,True,0.5665397852339199,0.4800113010312191,0.12847245195988544,0.2026947424932706,0.5358661221133806,0.45860162094539675,0.4800113010312191,13592,14724,1233432,535195,43.390717931754644
21,6,0.005,random_forest,200,12,0.48,0.05,0.5202544511663268,True,0.5665397852339199,0.4800113010312191,0.12847245195988544,0.2026947424932706,0.5358661221133806,0.45860162094539675,0.4800113010312191,13592,14724,1233432,535195,43.390717931754644
21,6,0.005,random_forest,100,12,0.48,0.05,0.5210493557709206,True,0.5665600538334002,0.48002552195951936,0.12799984876697826,0.20210733687541044,0.5357816715556369,0.45833030935586805,0.48002552195951936,13542,14669,1233432,535195,43.390717931754644
21,6,0.005,random_forest,100,12,0.48,0.1,0.5210493557709206,True,0.5665600538334002,0.48002552195951936,0.12799984876697826,0.20210733687541044,0.5357816715556369,0.45833030935586805,0.48002552195951936,13542,14669,1233432,535195,43.390717931754644
30,6,0.005,xgboost,200,8,0.48,0.05,0.8227659463882446,True,0.5653814461586156,0.4800101306125403,0.1258251138088012,0.19938532751222957,0.5382683668355834,0.4601813565029276,0.4800101306125403,13267,14372,1225726,533363,43.51404800093985
30,6,0.005,xgboost,200,8,0.48,0.1,0.8227659463882446,True,0.5653814461586156,0.4800101306125403,0.1258251138088012,0.19938532751222957,0.5382683668355834,0.4601813565029276,0.4800101306125403,13267,14372,1225726,533363,43.51404800093985
21,6,0.005,random_forest,200,8,0.48,0.1,0.517916125657797,True,0.5667222026292428,0.4800440609509822,0.12357628288136714,0.19655421252029587,0.5336995450463173,0.4567956648862733,0.4800440609509822,13074,14161,1233432,535195,43.390717931754644
21,6,0.005,random_forest,200,8,0.48,0.05,0.5179161256577968,True,0.5667222026292428,0.4800440609509822,0.12357628288136714,0.19655421252029587,0.5336995450463173,0.4567956648862733,0.4800440609509822,13074,14161,1233432,535195,43.390717931754644
21,6,0.005,xgboost,100,8,0.48,0.1,0.8165056109428406,True,0.5670546076607199,0.4800666428656432,0.11438887681125173,0.18475489672228754,0.5354851556028117,0.4576066415706703,0.4800666428656432,12102,13107,1233432,535195,43.390717931754644
21,6,0.005,xgboost,100,8,0.48,0.05,0.8165056109428406,True,0.5670546076607199,0.4800666428656432,0.11438887681125173,0.18475489672228754,0.5354851556028117,0.4576066415706703,0.4800666428656432,12102,13107,1233432,535195,43.390717931754644
21,6,0.005,xgboost,200,8,0.48,0.05,0.8208527565002441,True,0.5673018845743797,0.48002200965038516,0.1071958562152046,0.17525478469823758,0.5332652175797844,0.4556948087292881,0.48002200965038516,11341,12285,1233432,535195,43.390717931754644
21,6,0.005,xgboost,200,8,0.48,0.1,0.8208527565002441,True,0.5673018845743797,0.48002200965038516,0.1071958562152046,0.17525478469823758,0.5332652175797844,0.4556948087292881,0.48002200965038516,11341,12285,1233432,535195,43.390717931754644
15,6,0.005,random_forest,200,12,0.48,0.05,0.5246936600807086,True,0.5672762504541601,0.4800249966522341,0.10117126863916459,0.16711992416354565,0.5338074175562262,0.4562357269680473,0.4800249966522341,10754,11649,1238546,537711,43.414697556651106
15,6,0.005,random_forest,200,12,0.48,0.1,0.5246936600807086,True,0.5672762504541601,0.4800249966522341,0.10117126863916459,0.16711992416354565,0.5338074175562262,0.4562357269680473,0.4800249966522341,10754,11649,1238546,537711,43.414697556651106
15,9,0.005,xgboost,200,8,0.48,0.1,0.830353319644928,False,0.5522506156392556,0.48000175039383863,0.09971999490899834,0.16513360933383514,0.5276355989315779,0.4651855079230631,0.48000175039383863,10969,11883,1238546,557067,44.97749780791347
15,9,0.005,xgboost,200,8,0.48,0.05,0.830353319644928,True,0.5522506156392556,0.48000175039383863,0.09971999490899834,0.16513360933383514,0.5276355989315779,0.4651855079230631,0.48000175039383863,10969,11883,1238546,557067,44.97749780791347
30,6,0.005,xgboost,100,12,0.48,0.1,0.8287108540534973,False,0.5663849297969373,0.4800186089788323,0.09785660091047041,0.1625713948083665,0.5330309640041941,0.45622126471338403,0.4800186089788323,10318,11177,1225726,533363,43.51404800093985
30,6,0.005,xgboost,100,12,0.48,0.05,0.8287108540534973,True,0.5663849297969373,0.4800186089788323,0.09785660091047041,0.1625713948083665,0.5330309640041941,0.45622126471338403,0.4800186089788323,10318,11177,1225726,533363,43.51404800093985
15,6,0.005,xgboost,100,8,0.48,0.05,0.8188916444778442,True,0.567570949901094,0.4800582241630277,0.09308057763770639,0.15592766242464837,0.5328619483158946,0.4554071467044172,0.4800582241630277,9894,10716,1238546,537711,43.414697556651106
15,6,0.005,xgboost,100,8,0.48,0.1,0.8188916444778442,False,0.567570949901094,0.4800582241630277,0.09308057763770639,0.15592766242464837,0.5328619483158946,0.4554071467044172,0.4800582241630277,9894,10716,1238546,537711,43.414697556651106
